studyCountry,studyCity,studyLon,studyLat,birthCountry,countryID,contactCountry,contactCity,contactLon,contactLat,weight,total_at_cp,country_at_cp,isBoth,
Pakistan,Khyber Pakhtunkhwa,72.6402,34.9407,Afghanistan,1,Germany,,10.4234469,51.0834196,1,112,2,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Germany,,10.4234469,51.0834196,1,112,83,0,
Italy,Milano,9.1154,45.442,Gambia,99,Germany,,10.4234469,51.0834196,1,112,12,0,
Italy,Roma,12.7308,41.965,Afghanistan,1,Germany,,10.4234469,51.0834196,1,112,2,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Germany,,10.4234469,51.0834196,9,112,14,0,
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Germany,,10.4234469,51.0834196,1,112,14,0,
Italy,Treviso,12.2313,45.8092,Syria,4,Germany,,10.4234469,51.0834196,1,112,83,0,
Italy,Turin,7.47211,45.1609,Gambia,99,Germany,,10.4234469,51.0834196,10,112,12,0,
Italy,Udine,13.1961,46.0839,Pakistan,5,Germany,,10.4234469,51.0834196,1,112,1,0,
Italy,Roma,12.7308,41.965,Ghana,99,Ghana,,-1.0800271,8.0300284,2,8,8,0,
Italy,Treviso,12.2313,45.8092,Ghana,99,Ghana,,-1.0800271,8.0300284,2,8,8,0,
Italy,Turin,7.47211,45.1609,Ghana,99,Ghana,,-1.0800271,8.0300284,4,8,8,0,
Italy,Padova,11.8371,45.361,Guinea,99,Guinea,,-10.7083587,10.7226226,1,4,4,0,
Italy,Turin,7.47211,45.1609,Guinea,99,Guinea,,-10.7083587,10.7226226,2,4,4,0,
Italy,Vicenza,11.4753,45.712,Guinea,99,Guinea,,-10.7083587,10.7226226,1,4,4,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Iran,,51.3896004,35.6892523,1,6,2,0,
Greece,Athens Area,23.7997,38.0626,Pakistan,5,Iran,,51.3896004,35.6892523,3,6,3,0,
Italy,Turin,7.47211,45.1609,Afghanistan,1,Iran,,51.3896004,35.6892523,1,6,2,0,
Italy,Venezia,12.1647,45.4591,Iran,99,Iran,,51.3896004,35.6892523,1,6,1,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Israel,,34.8667654,31.5313113,1,2,2,0,
Italy,Milano,9.1154,45.442,Eritrea,3,Israel,,34.8667654,31.5313113,1,2,2,0,
Italy,Treviso,12.2313,45.8092,Ghana,99,Italy,,12.33284597,43.38126738,2,3,3,0,
Italy,Turin,7.47211,45.1609,Nigeria,99,Italy,,12.33284597,43.38126738,1,3,3,0,
Italy,Milano,9.1154,45.442,Cote d'Ivoire,99,Ivory Coast,,-5.5679458,7.9897371,4,16,16,0,
Italy,Roma,12.7308,41.965,Cote d'Ivoire,99,Ivory Coast,,-5.5679458,7.9897371,1,16,16,0,
Italy,Turin,7.47211,45.1609,Cote d'Ivoire,99,Ivory Coast,,-5.5679458,7.9897371,10,16,16,0,
Italy,Vicenza,11.4753,45.712,Mali,99,Ivory Coast,,-5.5679458,7.9897371,1,16,16,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Kuwait,,47.4979476,29.2733964,5,5,5,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Lebanon,,35.843409,33.8750629,2,2,2,0,
Italy,Milano,9.1154,45.442,Mali,99,Mali,,-2.2900239,16.3700359,1,8,8,0,
Italy,Padova,11.8371,45.361,Mali,99,Mali,,-2.2900239,16.3700359,2,8,8,0,
Italy,Turin,7.47211,45.1609,Mali,99,Mali,,-2.2900239,16.3700359,3,8,8,0,
Italy,Vicenza,11.4753,45.712,Mali,99,Mali,,-2.2900239,16.3700359,2,8,8,0,
Greece,Athens Area,23.7997,38.0626,Syria,4,Malta,,14.4476911,35.8885993,2,2,2,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Netherlands,,5.453803502,52.17826107,1,11,8,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Netherlands,,5.453803502,52.17826107,3,11,3,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Netherlands,,5.453803502,52.17826107,7,11,8,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,New Zealand,,172.8344077,-41.5000831,1,1,1,0,
Italy,Turin,7.47211,45.1609,Niger,99,Niger,,9.3238432,17.7356214,2,3,3,0,
Italy,Vicenza,11.4753,45.712,Niger,99,Niger,,9.3238432,17.7356214,1,3,3,0,
Italy,Treviso,12.2313,45.8092,Nigeria,99,Nigeria,,7.9999721,9.6000359,3,26,26,0,
Italy,Turin,7.47211,45.1609,Nigeria,99,Nigeria,,7.9999721,9.6000359,21,26,26,0,
Italy,Venezia,12.1647,45.4591,Nigeria,99,Nigeria,,7.9999721,9.6000359,2,26,26,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Norway,,9.0999715,60.5000209,1,14,10,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Norway,,9.0999715,60.5000209,2,14,2,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Norway,,9.0999715,60.5000209,2,14,2,0,
Italy,Pavia,9.2558,45.1396,Eritrea,3,Norway,,9.0999715,60.5000209,1,14,10,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Norway,,9.0999715,60.5000209,6,14,10,0,
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Norway,,9.0999715,60.5000209,1,14,10,0,
Italy,Turin,7.47211,45.1609,Eritrea,3,Norway,,9.0999715,60.5000209,1,14,10,0,
Greece,Athens Area,23.7997,38.0626,Pakistan,5,Pakistan,,67.91064443,29.10819827,1,8,7,0,
Italy,Imperia,7.81935,44.011,Pakistan,5,Pakistan,,67.91064443,29.10819827,2,8,7,0,
Pakistan,Sind,68.8685,26.3734,Afghanistan,1,Pakistan,,67.91064443,29.10819827,1,8,1,0,
Italy,Udine,13.1961,46.0839,Pakistan,5,Pakistan,,67.91064443,29.10819827,4,8,7,0,
Italy,Turin,7.47211,45.1609,DR Congo,2,Philippines,,122.7312101,12.7503486,1,1,1,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Saudi Arabia,,42.3528328,25.6242618,1,4,2,0,
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,Saudi Arabia,,42.3528328,25.6242618,1,4,2,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Saudi Arabia,,42.3528328,25.6242618,1,4,1,0,
Italy,Trieste,13.7799,45.6866,Afghanistan,1,Saudi Arabia,,42.3528328,25.6242618,1,4,1,0,
Italy,Avellino,15.1044,40.9404,Senegal,99,Senegal,,-14.4529612,14.4750607,1,13,13,0,
